image,method,target_ratio,bpp,psnr,ssim,original_bytes,compressed_bytes,jpeg_save_quality,target_reached
airplane,APUBT3-NUP,0.3,0.30267262791852956,16.455194803403554,0.7599425392057474,5702,1904,,False
airplane,JPEG,0.3,0.26642821659215105,28.30018496626671,0.9663975827834358,5702,1676,12,
airplane,APUBT3-NUP,0.4,0.35242921013412815,19.436243547494406,0.8488079575197184,5702,2217,,True
airplane,JPEG,0.4,0.36212617983109785,30.410147572604117,0.9786034320713157,5702,2278,21,
airplane,APUBT3-NUP,0.5,0.4521013412816692,23.984480195435175,0.9313137210037077,5702,2844,,True
airplane,JPEG,0.5,0.4527372081470442,32.42187107493902,0.9865797295184151,5702,2848,31,
airplane,APUBT3-NUP,0.6,0.47467461500248387,25.231523352479343,0.9445249868754351,5702,2986,,True
airplane,JPEG,0.6,0.5409637357178341,34.047271527385455,0.9907953117614475,5702,3403,43,
airplane,APUBT3-NUP,0.7,0.5056731246895181,26.078216059663347,0.9528866727499693,5702,3181,,True
airplane,JPEG,0.7,0.6307799304520616,36.54515556659575,0.9945249728980159,5702,3968,64,
airplane,APUBT3-NUP,0.8,0.5489120715350223,27.066977177126034,0.9611270772787049,5702,3453,,True
airplane,JPEG,0.8,0.67799304520616,36.670776905367916,0.994589325847791,5702,4265,69,
lena,APUBT3-NUP,0.3,0.5062934027777778,16.195809489238783,0.8997430854818099,9436,2333,,True
lena,JPEG,0.3,0.5930989583333334,25.823117941783366,0.9831411663002632,9436,2733,14,
lena,APUBT3-NUP,0.4,0.6922743055555556,20.298639843739473,0.9487084716246004,9436,3190,,True
lena,JPEG,0.4,0.7936197916666666,27.17040709625399,0.9874948649869074,9436,3657,21,
lena,APUBT3-NUP,0.5,0.7400173611111112,20.820297454468065,0.9533448107680887,9436,3410,,True
lena,JPEG,0.5,1.0164930555555556,29.174496261510544,0.9918413250749157,9436,4684,35,
lena,APUBT3-NUP,0.6,1.1927083333333333,24.569142248403722,0.9789812069629564,9436,5496,,True
lena,JPEG,0.6,1.1304253472222223,29.39809547242151,0.9921668609469236,9436,5209,40,
lena,APUBT3-NUP,0.7,1.3244357638888888,25.41230816409477,0.9826228016143962,9436,6103,,True
lena,JPEG,0.7,1.4216579861111112,30.396767883404113,0.9941331397158218,9436,6551,44,
lena,APUBT3-NUP,0.8,1.5132378472222223,26.444336154922823,0.9864886081748887,9436,6973,,True
lena,JPEG,0.8,1.6315104166666667,36.82298562949515,0.9988244882603252,9436,7518,61,
peppers,APUBT3-NUP,0.3,0.41118024691358024,16.59786168721074,0.8918231214609702,10954,2602,,True
peppers,JPEG,0.3,0.5101037037037037,26.906902700042327,0.9883443392283698,10954,3228,13,
peppers,APUBT3-NUP,0.4,0.5842172839506173,20.863073012270526,0.94818465276659,10954,3697,,True
peppers,JPEG,0.4,0.6776098765432099,28.64635441319603,0.9919165725527439,10954,4288,19,
peppers,APUBT3-NUP,0.5,0.6313086419753087,21.489865472273145,0.954423328399792,10954,3995,,True
peppers,JPEG,0.5,0.8591802469135802,30.50730675398736,0.994948343121731,10954,5437,27,
peppers,APUBT3-NUP,0.6,0.6845629629629629,22.354570265430883,0.9612401513925509,10954,4332,,True
peppers,JPEG,0.6,1.0162567901234567,32.3593867822087,0.9972065049063511,10954,6431,40,
peppers,APUBT3-NUP,0.7,1.158795061728395,26.194561507996134,0.9837198614467124,10954,7333,,True
peppers,JPEG,0.7,1.209362962962963,35.08850746688588,0.9982030804399403,10954,7653,54,
peppers,APUBT3-NUP,0.8,1.3300938271604938,27.199865324866334,0.9872174910440759,10954,8417,,True
peppers,JPEG,0.8,1.3612246913580246,37.2884835657788,0.9985884478306138,10954,8614,69,
zelda,APUBT3-NUP,0.3,0.4320715350223547,21.36405278797987,0.9638889303195822,9261,2718,,True
zelda,JPEG,0.3,0.4381122702434178,28.82541235385865,0.9923968207583719,9261,2756,15,
zelda,APUBT3-NUP,0.4,0.46322901142573275,21.836858823506397,0.9689597312574885,9261,2914,,True
zelda,JPEG,0.4,0.5629011425732737,29.854313333616595,0.9939520414003359,9261,3541,20,
zelda,APUBT3-NUP,0.5,0.6934128166915052,25.5427000463105,0.9843294620708155,9261,4362,,True
zelda,JPEG,0.5,0.7178936910084451,31.51167115418717,0.9957852854615494,9261,4516,28,
zelda,APUBT3-NUP,0.6,0.7624043715846994,26.191434642901065,0.9864560012087592,9261,4796,,True
zelda,JPEG,0.6,0.8619175360158967,33.293129206440256,0.997398819915456,9261,5422,42,
zelda,APUBT3-NUP,0.7,0.8490412319920516,26.981579062297357,0.9886043235621227,9261,5341,,True
zelda,JPEG,0.7,1.0278787878787878,36.18141396379223,0.9985082316898005,9261,6466,56,
zelda,APUBT3-NUP,0.8,0.9730352707401888,27.97371629346719,0.9909428784530739,9261,6121,,True
zelda,JPEG,0.8,1.1501241927471435,37.58020191951283,0.9988024180184718,9261,7235,69,
